id,object_type,object_name
1,INDEX,SS_SOLD_TIME_SK_INDEX
1,TABLE,STORE_SALES
1,TABLE,STORE_RETURNS
2,INDEX,C_CURRENT_ADDR_SK_INDEX
2,TABLE,CUSTOMER
2,TABLE,CUSTOMER ADDRESS
3,INDEX,SS_SOLD_DATE_SK_INDEX
3,TABLE,DATE_DIM
4,TABLE,CUSTOMER_ADDRESS
4,TABLE,CATALOG_SALES
4,INDEX,CS_SOLD_DATE_SK_INDEX
4,TABLE,CUSTOMER
5,TABLE,DATE_DIM
5,TABLE,INVENTORY
5,TABLE,ITEM
6,TABLE,CUSTOMER_DEMOGRAPHICS
6,TABLE,STORE_SALES
6,INDEX,SS_SOLD_DATE_SK_INDEX
6,TABLE,DATE_DIM
7,TABLE,DATE_DIM
7,INDEX,CS_SOLD_DATE_SK_INDEX
7,TABLE,CATALOG_SALES
8,TABLE,STORE
8,TABLE,ITEM
8,TABLE,DATE_DIM
8,INDEX,SS_SOLD_DATE_SK_INDEX
8,TABLE,STORE_SALES
9,INDEX,WS_SOLD_DATE_SK_INDEX
9,TABLE,WEB_SALES
10,TABLE,DATE_DIM
10,INDEX,SS_SOLD_DATE_SK_INDEX
11,INDEX,SS_SOLD_DATE_SK_INDEX
11,TABLE,STORE_SALES
12,INDEX,SR_RETURNED_DATE_SK_INDEX
12,TABLE,STORE_RETURNS
13,TABLE,STORE
13,TABLE,PROMOTION
14,INDEX,WS_SOLD_DATE_SK_INDEX
14,TABLE,WEB_SALES
