,12364,11/20/2018 08:34:45,,SELECT STATEMENT,,,,,,,,ALL_ROWS,,0,,0,13640,13640,100,14300,,,,,,,,4166808441,13510,,,,,1,
,12364,11/20/2018 08:34:45,,COUNT,STOPKEY,,,,,,,,,1,0,1,1,,,,,,,,,"<other_xml><info type=""db_version"">12.1.0.2</info><info type=""parse_schema""><![CDATA[""TPCDS1""]]></info><info type=""dynamic_sampling"" note=""y"">2</info><info type=""plan_hash_full"">2672685463</info><info type=""plan_hash"">766156512</info><info type=""plan_hash_2"">2672685463</info><spd><v>3548629066924918894</v><v>6758806529561965927</v><u>10762748272676336162</u><u>5796842175315024033</u><cv>2</cv><cu>2</cu></spd><outline_data><hint><![CDATA[SWAP_JOIN_INPUTS(@""SEL$2"" ""ITEM""@""SEL$2"")]]></hint><hint><![CDATA[SWAP_JOIN_INPUTS(@""SEL$2"" ""D1""@""SEL$2"")]]></hint><hint><![CDATA[USE_HASH(@""SEL$2"" ""ITEM""@""SEL$2"")]]></hint><hint><![CDATA[USE_HASH(@""SEL$2"" ""D1""@""SEL$2"")]]></hint><hint><![CDATA[USE_HASH(@""SEL$2"" ""STORE_SALES""@""SEL$2"")]]></hint><hint><![CDATA[LEADING(@""SEL$2"" ""STORE""@""SEL$2"" ""STORE_SALES""@""SEL$2"" ""D1""@""SEL$2"" ""ITEM""@""SEL$2"")]]></hint><hint><![CDATA[FULL(@""SEL$2"" ""ITEM""@""SEL$2"")]]></hint><hint><![CDATA[FULL(@""SEL$2"" ""D1""@""SEL$2"")]]></hint><hint><![CDATA[FULL(@""SEL$2"" ""STORE_SALES""@""SEL$2"")]]></hint><hint><![CDATA[FULL(@""SEL$2"" ""STORE""@""SEL$2"")]]></hint><hint><![CDATA[NO_ACCESS(@""SEL$1"" ""from$_subquery$_001""@""SEL$1"")]]></hint><hint><![CDATA[OUTLINE_LEAF(@""SEL$1"")]]></hint><hint><![CDATA[OUTLINE_LEAF(@""SEL$2"")]]></hint><hint><![CDATA[ALL_ROWS]]></hint><hint><![CDATA[DB_VERSION('12.1.0.2')]]></hint><hint><![CDATA[OPTIMIZER_FEATURES_ENABLE('12.1.0.2')]]></hint><hint><![CDATA[IGNORE_OPTIM_EMBEDDED_HINTS]]></hint></outline_data></other_xml>",,,,,,ROWNUM<=100,"from$_subquery$_001.""GROSS_MARGIN""[NUMBER,22], ""from$_subquery$_001"".""I_CATEGORY""[CHARACTER,50], ""from$_subquery$_001"".""I_CLASS""[CHARACTER,50], ""from$_subquery$_001"".""LOCHIERARCHY""[NUMBER,22], ""from$_subquery$_001"".""RANK_WITHIN_PARENT""[NUMBER,22]",,SEL$1
,12364,11/20/2018 08:34:45,,VIEW,,,TPCDS1,,from$_subquery$_001@SEL$1,1,,,,2,1,2,1,13640,129,18447,,,,,,,,4166808441,13510,,,,"from$_subquery$_001.""GROSS_MARGIN""[NUMBER,22], ""from$_subquery$_001"".""I_CATEGORY""[CHARACTER,50], ""from$_subquery$_001"".""I_CLASS""[CHARACTER,50], ""from$_subquery$_001"".""LOCHIERARCHY""[NUMBER,22], ""from$_subquery$_001"".""RANK_WITHIN_PARENT""[NUMBER,22]",1,SEL$2
,12364,11/20/2018 08:34:45,,SORT,ORDER BY STOPKEY,,,,,,,,,3,2,3,1,13640,129,19092,,,,,,,,4166808441,13510,,,ROWNUM<=100,"(#keys=3) GROUPING(""I_CATEGORY"")+GROUPING(""I_CLASS"")[22], CASE GROUPING(""I_CATEGORY"")+GROUPING(""I_CLASS"") WHEN 0 THEN ""I_CATEGORY"" END [50], RANK() OVER ( PARTITION BY GROUPING(""I_CATEGORY"")+GROUPING(""I_CLASS""),CASE GROUPING(""I_CLASS"") WHEN 0 THEN ""I_CATEGORY"" END  ORDER BY SUM(""SS_NET_PROFIT"")/SUM(""SS_EXT_SALES_PRICE""))[22], ""I_CATEGORY""[CHARACTER,50], ""I_CLASS""[CHARACTER,50], SUM(""SS_EXT_SALES_PRICE"")[22], SUM(""SS_NET_PROFIT"")[22]",1,SEL$2
,12364,11/20/2018 08:34:45,,WINDOW,SORT,,,,,,,,,4,3,4,1,13640,129,19092,,,,,,,,4166808441,13510,,,,"(#keys=3) GROUPING(""I_CATEGORY"")+GROUPING(""I_CLASS"")[22], CASE GROUPING(""I_CLASS"") WHEN 0 THEN ""I_CATEGORY"" END [50], SUM(""SS_NET_PROFIT"")/SUM(""SS_EXT_SALES_PRICE"")[22], ""I_CATEGORY""[CHARACTER,50], ""I_CLASS""[CHARACTER,50], SUM(""SS_EXT_SALES_PRICE"")[22], SUM(""SS_NET_PROFIT"")[22], SYSDEF[4], RANK() OVER ( PARTITION BY GROUPING(""I_CATEGORY"")+GROUPING(""I_CLASS""),CASE GROUPING(""I_CLASS"") WHEN 0 THEN ""I_CATEGORY"" END  ORDER BY SUM(""SS_NET_PROFIT"")/SUM(""SS_EXT_SALES_PRICE""))[22]",1,
,12364,11/20/2018 08:34:45,,SORT,GROUP BY ROLLUP,,,,,,,,,5,4,5,1,13640,129,19092,,,,,,,,4166808441,13510,,,,"(#keys=2) ""I_CATEGORY""[CHARACTER,50], ""I_CLASS""[CHARACTER,50], SUM(""SS_EXT_SALES_PRICE"")[22], SUM(""SS_NET_PROFIT"")[22], SYSDEF[4]",1,
,12364,11/20/2018 08:34:45,,HASH JOIN,,,,,,,,,,6,5,6,1,13595,518944,76803712,,,,,,,,2738900494,13510,2147000,"I_ITEM_SK=""SS_ITEM_SK""",,"(#keys=1) ""I_ITEM_SK""[NUMBER,22], ""SS_ITEM_SK""[NUMBER,22], ""I_CATEGORY""[CHARACTER,50], ""I_CLASS""[CHARACTER,50], ""D1"".""D_DATE_SK""[NUMBER,22], ""SS_SOLD_DATE_SK""[NUMBER,22], ""D1"".""D_YEAR""[NUMBER,22], ""S_STORE_SK""[NUMBER,22], ""SS_STORE_SK""[NUMBER,22], ""S_STATE""[CHARACTER,2], ""SS_EXT_SALES_PRICE""[NUMBER,22], ""SS_NET_PROFIT""[NUMBER,22]",1,
,12364,11/20/2018 08:34:45,,TABLE ACCESS,FULL,,TPCDS1,ITEM,ITEM@SEL$2,4,TABLE,ANALYZED,,7,6,7,1,410,18000,1926000,,,,,,,,20970646,409,,,,"(rowset=200) ""I_ITEM_SK""[NUMBER,22], ""I_CLASS""[CHARACTER,50], ""I_CATEGORY""[CHARACTER,50]",1,SEL$2
,12364,11/20/2018 08:34:45,,HASH JOIN,,,,,,,,,,8,6,7,2,11759,527247,21617127,,,,,,,,2594108041,11678,,"D1.""D_DATE_SK""=""SS_SOLD_DATE_SK""",,"(#keys=1; rowset=200) ""D1"".""D_DATE_SK""[NUMBER,22], ""SS_SOLD_DATE_SK""[NUMBER,22], ""D1"".""D_YEAR""[NUMBER,22], ""S_STORE_SK""[NUMBER,22], ""SS_STORE_SK""[NUMBER,22], ""S_STATE""[CHARACTER,2], ""SS_EXT_SALES_PRICE""[NUMBER,22], ""SS_ITEM_SK""[NUMBER,22], ""SS_NET_PROFIT""[NUMBER,22]",1,
,12364,11/20/2018 08:34:45,,TABLE ACCESS,FULL,,TPCDS1,DATE_DIM,D1@SEL$2,3,TABLE,ANALYZED,,9,8,8,1,376,366,3660,,,,,,,,33218304,375,,,"D1.""D_YEAR""=2000","(rowset=200) ""D1"".""D_DATE_SK""[NUMBER,22], ""D1"".""D_YEAR""[NUMBER,22]",1,SEL$2
