PLAN_ID,TIMESTAMP,REMARKS,OPERATION,OPTIONS,OBJECT_NODE,OBJECT_OWNER,OBJECT_NAME,OBJECT_ALIAS,OBJECT_INSTANCE,OBJECT_TYPE,OPTIMIZER,SEARCH_COLUMNS,ID,PARENT_ID,DEPTH,POSITION,COST,CARDINALITY,BYTES,OTHER_TAG,PARTITION_START,PARTITION_STOP,PARTITION_ID,OTHER,OTHER_XML,DISTRIBUTION,CPU_COST,IO_COST,TEMP_SPACE,ACCESS_PREDICATES,FILTER_PREDICATES,PROJECTION,TIME,QBLOCK_NAME
12443,11/20/2018 09:48:52,,SELECT STATEMENT,,,,,,,,ALL_ROWS,,0,,0,63114,63114,7,420,,,,,,,,29373700824,62198,,,,,3,
12443,11/20/2018 09:48:52,,COUNT,STOPKEY,,,,,,,,,1,0,1,1,,,,,,,,,"<other_xml><info type=""db_version"">12.1.0.2</info><info type=""parse_schema""><![CDATA[""TPCDS10""]]></info><info type=""dynamic_sampling"" note=""y"">2</info><info type=""plan_hash_full"">4255240624</info><info type=""plan_hash"">2290870107</info><info type=""plan_hash_2"">4255240624</info><spd><u>17318912232676496399</u><cv>0</cv><cu>1</cu></spd><outline_data><hint><![CDATA[USE_HASH_AGGREGATION(@""SEL$4"")]]></hint><hint><![CDATA[SWAP_JOIN_INPUTS(@""SEL$4"" ""STORE""@""SEL$4"")]]></hint><hint><![CDATA[USE_HASH(@""SEL$4"" ""STORE""@""SEL$4"")]]></hint><hint><![CDATA[NLJ_BATCHING(@""SEL$4"" ""STORE_SALES""@""SEL$4"")]]></hint><hint><![CDATA[USE_NL(@""SEL$4"" ""STORE_SALES""@""SEL$4"")]]></hint><hint><![CDATA[LEADING(@""SEL$4"" ""DATE_DIM""@""SEL$4"" ""STORE_SALES""@""SEL$4"" ""STORE""@""SEL$4"")]]></hint><hint><![CDATA[FULL(@""SEL$4"" ""STORE""@""SEL$4"")]]></hint><hint><![CDATA[INDEX(@""SEL$4"" ""STORE_SALES""@""SEL$4"" (""STORE_SALES"".""SS_SOLD_DATE_SK""))]]></hint><hint><![CDATA[FULL(@""SEL$4"" ""DATE_DIM""@""SEL$4"")]]></hint><hint><![CDATA[NO_ACCESS(@""SEL$291F8F59"" ""TMP1""@""SEL$3"")]]></hint><hint><![CDATA[SWAP_JOIN_INPUTS(@""SEL$BE5C8E5F"" ""VW_NSO_1""@""SEL$BE5C8E5F"")]]></hint><hint><![CDATA[SWAP_JOIN_INPUTS(@""SEL$BE5C8E5F"" ""STORE""@""SEL$2"")]]></hint><hint><![CDATA[USE_HASH(@""SEL$BE5C8E5F"" ""VW_NSO_1""@""SEL$BE5C8E5F"")]]></hint><hint><![CDATA[USE_HASH(@""SEL$BE5C8E5F"" ""STORE""@""SEL$2"")]]></hint><hint><![CDATA[NLJ_BATCHING(@""SEL$BE5C8E5F"" ""STORE_SALES""@""SEL$2"")]]></hint><hint><![CDATA[USE_NL(@""SEL$BE5C8E5F"" ""STORE_SALES""@""SEL$2"")]]></hint><hint><![CDATA[LEADING(@""SEL$BE5C8E5F"" ""D1""@""SEL$2"" ""STORE_SALES""@""SEL$2"" ""STORE""@""SEL$2"" ""VW_NSO_1""@""SEL$BE5C8E5F"")]]></hint><hint><![CDATA[NO_ACCESS(@""SEL$BE5C8E5F"" ""VW_NSO_1""@""SEL$BE5C8E5F"")]]></hint><hint><![CDATA[FULL(@""SEL$BE5C8E5F"" ""STORE""@""SEL$2"")]]></hint><hint><![CDATA[INDEX(@""SEL$BE5C8E5F"" ""STORE_SALES""@""SEL$2"" (""STORE_SALES"".""SS_SOLD_DATE_SK""))]]></hint><hint><![CDATA[FULL(@""SEL$BE5C8E5F"" ""D1""@""SEL$2"")]]></hint><hint><![CDATA[NO_ACCESS(@""SEL$1"" ""from$_subquery$_001""@""SEL$1"")]]></hint><hint><![CDATA[OUTLINE(@""SEL$2"")]]></hint><hint><![CDATA[OUTLINE(@""SEL$3"")]]></hint><hint><![CDATA[OUTLINE_LEAF(@""SEL$1"")]]></hint><hint><![CDATA[UNNEST(@""SEL$3"" UNNEST_SEMIJ_VIEW)]]></hint><hint><![CDATA[OUTLINE_LEAF(@""SEL$BE5C8E5F"")]]></hint><hint><![CDATA[OUTLINE_LEAF(@""SEL$291F8F59"")]]></hint><hint><![CDATA[OUTLINE_LEAF(@""SEL$4"")]]></hint><hint><![CDATA[ALL_ROWS]]></hint><hint><![CDATA[DB_VERSION('12.1.0.2')]]></hint><hint><![CDATA[OPTIMIZER_FEATURES_ENABLE('12.1.0.2')]]></hint><hint><![CDATA[IGNORE_OPTIM_EMBEDDED_HINTS]]></hint></outline_data></other_xml>",,,,,,ROWNUM<=10000,"from$_subquery$_001.""TOTAL_SUM""[NUMBER,22], ""from$_subquery$_001"".""S_STATE""[CHARACTER,2], ""from$_subquery$_001"".""S_COUNTY""[VARCHAR2,30], ""from$_subquery$_001"".""LOCHIERARCHY""[NUMBER,22], ""from$_subquery$_001"".""RANK_WITHIN_PARENT""[NUMBER,22]",,SEL$1
12443,11/20/2018 09:48:52,,VIEW,,,TPCDS10,,from$_subquery$_001@SEL$1,1,,,,2,1,2,1,63114,7,420,,,,,,,,29373700824,62198,,,,"from$_subquery$_001.""TOTAL_SUM""[NUMBER,22], ""from$_subquery$_001"".""S_STATE""[CHARACTER,2], ""from$_subquery$_001"".""S_COUNTY""[VARCHAR2,30], ""from$_subquery$_001"".""LOCHIERARCHY""[NUMBER,22], ""from$_subquery$_001"".""RANK_WITHIN_PARENT""[NUMBER,22]",3,SEL$BE5C8E5F
12443,11/20/2018 09:48:52,,SORT,ORDER BY STOPKEY,,,,,,,,,3,2,3,1,63114,7,357,,,,,,,,29373700824,62198,,,ROWNUM<=10000,"(#keys=3) GROUPING(""S_STATE"")+GROUPING(""S_COUNTY"")[22], CASE GROUPING(""S_STATE"")+GROUPING(""S_COUNTY"") WHEN 0 THEN ""S_STATE"" END [2], RANK() OVER ( PARTITION BY GROUPING(""S_STATE"")+GROUPING(""S_COUNTY""),CASE GROUPING(""S_COUNTY"") WHEN 0 THEN ""S_STATE"" END  ORDER BY SUM(""SS_NET_PROFIT"") DESC )[22], SUM(""SS_NET_PROFIT"")[22], ""S_STATE""[CHARACTER,2], ""S_COUNTY""[VARCHAR2,30]",3,SEL$BE5C8E5F
12443,11/20/2018 09:48:52,,WINDOW,SORT,,,,,,,,,4,3,4,1,63114,7,357,,,,,,,,29373700824,62198,,,,"(#keys=3) GROUPING(""S_STATE"")+GROUPING(""S_COUNTY"")[22], CASE GROUPING(""S_COUNTY"") WHEN 0 THEN ""S_STATE"" END [2], SUM(""SS_NET_PROFIT"")[22], ""S_STATE""[CHARACTER,2], ""S_COUNTY""[VARCHAR2,30], SYSDEF[4], RANK() OVER ( PARTITION BY GROUPING(""S_STATE"")+GROUPING(""S_COUNTY""),CASE GROUPING(""S_COUNTY"") WHEN 0 THEN ""S_STATE"" END  ORDER BY SUM(""SS_NET_PROFIT"") DESC )[22]",3,
12443,11/20/2018 09:48:52,,SORT,GROUP BY ROLLUP,,,,,,,,,5,4,5,1,63114,7,357,,,,,,,,29373700824,62198,,,,"(#keys=2) ""S_STATE""[CHARACTER,2], ""S_COUNTY""[VARCHAR2,30], SUM(""SS_NET_PROFIT"")[22], SYSDEF[4]",3,
12443,11/20/2018 09:48:52,,HASH JOIN,RIGHT SEMI,,,,,,,,,6,5,6,1,62545,5968235,304379985,,,,,,,,11119807540,62198,,"S_STATE=""S_STATE""",,"(#keys=1) ""S_STATE""[CHARACTER,2], ""S_STORE_SK""[NUMBER,22], ""SS_STORE_SK""[NUMBER,22], ""SS_NET_PROFIT""[NUMBER,22], ""S_COUNTY""[VARCHAR2,30], ""D1"".""D_DATE_SK""[NUMBER,22], ""D1"".""D_MONTH_SEQ""[NUMBER,22], ""STORE_SALES"".ROWID[ROWID,10], ""SS_SOLD_DATE_SK""[NUMBER,22]",3,
12443,11/20/2018 09:48:52,,VIEW,,,SYS,VW_NSO_1,VW_NSO_1@SEL$BE5C8E5F,9,VIEW,,,7,6,7,1,31358,3,9,,,,,,,,8303507342,31099,,,,"S_STATE[CHARACTER,2]",2,SEL$291F8F59
12443,11/20/2018 09:48:52,,VIEW,,,TPCDS10,,TMP1@SEL$3,5,,,,8,7,8,1,31358,3,51,,,,,,,,8303507342,31099,,,RANKING<=5,"S_STATE[CHARACTER,2], ""RANKING""[NUMBER,22]",2,SEL$4
12443,11/20/2018 09:48:52,,WINDOW,SORT PUSHED RANK,,,,,,,,,9,8,9,1,31358,3,96,,,,,,,,8303507342,31099,,,"RANK() OVER ( PARTITION BY ""S_STATE"" ORDER BY SUM(""SS_NET_PROFIT"") DESC )<=5","(#keys=2) ""S_STATE""[CHARACTER,2], SUM(""SS_NET_PROFIT"")[22], RANK() OVER ( PARTITION BY ""S_STATE"" ORDER BY SUM(""SS_NET_PROFIT"") DESC )[22]",2,SEL$4
