b'\x00\x00\x00\x01J\xf0\x8a\x98',1052578227,04kug40zbu4dm,4006480256,3207538813,b'\x00\x00\x00\x01J\xf0\x85\xf8',0,2018-09-16 15:58:48,SELECT STATEMENT,,,,,,,,CHOOSE,0,,0,2,0,2,,,,,,,,,,,,,,,,,,,0
b'\x00\x00\x00\x01J\xf0\x8a\x98',1052578227,04kug40zbu4dm,4006480256,3207538813,b'\x00\x00\x00\x01J\xf0\x85\xf8',0,2018-09-16 15:58:48,TABLE ACCESS,FULL,,449,SYS,AUD_OBJECT_OPT$,AUD_OBJECT_OPT$@SEL$1,TABLE,,1,0,1,1,0,2,1,114,,,,,,,7431,2,,,"(""OBJECT#""=:1 AND ""TYPE""=2)","""POLICY#""[NUMBER,22], ""ACTION#""[VARCHAR2,100]",1,SEL$1,,"<other_xml><info type=""db_version"">12.1.0.2</info><info type=""parse_schema""><![CDATA[""SYS""]]></info><info type=""plan_hash_full"">3207538813</info><info type=""plan_hash"">4006480256</info><info type=""plan_hash_2"">3207538813</info><outline_data><hint><![CDATA[IGNORE_OPTIM_EMBEDDED_HINTS]]></hint><hint><![CDATA[OPTIMIZER_FEATURES_ENABLE('12.1.0.2')]]></hint><hint><![CDATA[DB_VERSION('12.1.0.2')]]></hint><hint><![CDATA[OPT_PARAM('_optim_peek_user_binds' 'false')]]></hint><hint><![CDATA[OUTLINE_LEAF(@""SEL$1"")]]></hint><hint><![CDATA[FULL(@""SEL$1"" ""AUD_OBJECT_OPT$""@""SEL$1"")]]></hint></outline_data></other_xml>",0
b'\x00\x00\x00\x01K\xfe\xd3\xc0',1837016517,0gx3b09qrx9f5,1964104430,1254914732,b'\x00\x00\x00\x01K\xeb6\xd0',1,2018-09-16 15:58:48,SELECT STATEMENT,,,,,,,,CHOOSE,0,,0,2,0,2,,,,,,,,,,,,,,,,,,,0
b'\x00\x00\x00\x01K\xfe\xd3\xc0',1837016517,0gx3b09qrx9f5,1964104430,1254914732,b'\x00\x00\x00\x01K\xfe\xc1P',0,2018-09-16 15:58:48,SELECT STATEMENT,,,,,,,,CHOOSE,0,,0,2,0,2,,,,,,,,,,,,,,,,,,,0
b'\x00\x00\x00\x01K\xfe\xd3\xc0',1837016517,0gx3b09qrx9f5,1964104430,1254914732,b'\x00\x00\x00\x01K\xeb6\xd0',1,2018-09-16 15:58:48,TABLE ACCESS,BY INDEX ROWID,,624,SYS,OID$,OID$@SEL$1,TABLE,,1,0,1,1,0,2,1,27,,,,,,,15503,2,,,,"""OBJ#""[NUMBER,22], ""INDEX#""[NUMBER,22]",1,SEL$1,,"<other_xml><info type=""db_version"">12.1.0.2</info><info type=""parse_schema""><![CDATA[""SYS""]]></info><info type=""plan_hash_full"">1254914732</info><info type=""plan_hash"">1964104430</info><info type=""plan_hash_2"">1254914732</info><outline_data><hint><![CDATA[IGNORE_OPTIM_EMBEDDED_HINTS]]></hint><hint><![CDATA[OPTIMIZER_FEATURES_ENABLE('12.1.0.2')]]></hint><hint><![CDATA[DB_VERSION('12.1.0.2')]]></hint><hint><![CDATA[OPT_PARAM('_optim_peek_user_binds' 'false')]]></hint><hint><![CDATA[OUTLINE_LEAF(@""SEL$1"")]]></hint><hint><![CDATA[INDEX_RS_ASC(@""SEL$1"" ""OID$""@""SEL$1"" (""OID$"".""USER#"" ""OID$"".""OID$""))]]></hint></outline_data></other_xml>",0
b'\x00\x00\x00\x01K\xfe\xd3\xc0',1837016517,0gx3b09qrx9f5,1964104430,1254914732,b'\x00\x00\x00\x01K\xfe\xc1P',0,2018-09-16 15:58:48,TABLE ACCESS,BY INDEX ROWID,,624,SYS,OID$,OID$@SEL$1,TABLE,,1,0,1,1,0,2,1,27,,,,,,,15503,2,,,,"""OBJ#""[NUMBER,22], ""INDEX#""[NUMBER,22]",1,SEL$1,,"<other_xml><info type=""db_version"">12.1.0.2</info><info type=""parse_schema""><![CDATA[""SYS""]]></info><info type=""plan_hash_full"">1254914732</info><info type=""plan_hash"">1964104430</info><info type=""plan_hash_2"">1254914732</info><outline_data><hint><![CDATA[IGNORE_OPTIM_EMBEDDED_HINTS]]></hint><hint><![CDATA[OPTIMIZER_FEATURES_ENABLE('12.1.0.2')]]></hint><hint><![CDATA[DB_VERSION('12.1.0.2')]]></hint><hint><![CDATA[OPT_PARAM('_optim_peek_user_binds' 'false')]]></hint><hint><![CDATA[OUTLINE_LEAF(@""SEL$1"")]]></hint><hint><![CDATA[INDEX_RS_ASC(@""SEL$1"" ""OID$""@""SEL$1"" (""OID$"".""USER#"" ""OID$"".""OID$""))]]></hint></outline_data></other_xml>",0
b'\x00\x00\x00\x01K\xfe\xd3\xc0',1837016517,0gx3b09qrx9f5,1964104430,1254914732,b'\x00\x00\x00\x01K\xeb6\xd0',1,2018-09-16 15:58:48,INDEX,UNIQUE SCAN,,625,SYS,I_OID1,OID$@SEL$1,INDEX (UNIQUE),,2,1,2,1,2,1,1,,,,,,,,8171,1,,"""USER#""=:1 AND ""OID$""=:2",,"""OID$"".ROWID[ROWID,10]",1,SEL$1,,,0
b'\x00\x00\x00\x01K\xfe\xd3\xc0',1837016517,0gx3b09qrx9f5,1964104430,1254914732,b'\x00\x00\x00\x01K\xfe\xc1P',0,2018-09-16 15:58:48,INDEX,UNIQUE SCAN,,625,SYS,I_OID1,OID$@SEL$1,INDEX (UNIQUE),,2,1,2,1,2,1,1,,,,,,,,8171,1,,"""USER#""=:1 AND ""OID$""=:2",,"""OID$"".ROWID[ROWID,10]",1,SEL$1,,,0
b'\x00\x00\x00\x01F\xfe\x12`',2201826955,0m78skf1mudnb,3506511888,3700596230,b'\x00\x00\x00\x01F\xf6h8',1,2018-09-16 15:58:48,SELECT STATEMENT,,,,,,,,CHOOSE,0,,0,2,0,2,,,,,,,,,,,,,,,,,,,0
b'\x00\x00\x00\x01F\xfe\x12`',2201826955,0m78skf1mudnb,3506511888,3700596230,b'\x00\x00\x00\x01F\xfd\xfe\xb0',0,2018-09-16 15:58:48,SELECT STATEMENT,,,,,,,,CHOOSE,0,,0,2,0,2,,,,,,,,,,,,,,,,,,,0
