id,object_type,object_name
1,No plan differences detected.,No plan differences detected.
2,INDEX,SS_CUSTOMER_SK_INDEX
2,TABLE,STORE_SALES
2,TABLE,DATE_DIM
3,INDEX,SS_SOLD_DATE_SK_INDEX
3,TABLE,DATE_DIM
3,TABLE,STORE_SALES
4,TABLE,CUSTOMER_ADDRESS
4,TABLE,CUSTOMER
4,TABLE,DATE_DIM
4,INDEX,CS_SOLD_DATE_SK_INDEX
5,No plan differences detected.,No plan differences detected.
6,No plan differences detected.,No plan differences detected.
7,No plan differences detected.,No plan differences detected.
8,No plan differences detected.,No plan differences detected.
9,INDEX,WS_SOLD_DATE_SK_INDEX
9,TABLE,DATE_DIM
9,TABLE,WEB_SALES
10,No plan differences detected.,No plan differences detected.
11,No plan differences detected.,No plan differences detected.
12,INDEX,CS_SOLD_DATE_SK_INDEX
12,TABLE,DATE_DIM
12,TABLE,CATALOG_SALES
13,TABLE,STORE
13,TABLE,PROMOTION
13,TABLE,ITEM
14,No plan differences detected.,No plan differences detected.
